name,unit_type,security_deposit,rent,water_price,garbage_charge,is_occupied
A1,1 Bedroom,7500.00,7500.00,130.00,100.00,Yes
A2,1 Bedroom,7500.00,7500.00,200.00,100.00,Yes
A3,1 Bedroom,7500.00,7500.00,200.00,100.00,Yes
A4,1 Bedroom,7300.00,7300,200.00,100.00,Yes
A5,Bedsitter,0.00,0.00,0.00,0.00,Yes
A6,1 Bedroom,7300.00,7300.00,200.00,100.00,Yes
A7,1 Bedroom,7500.00,7500.00,200.00,100.00,Yes
A8,1 Bedroom,7500.00,7500.00,200.00,100.00,Yes
A9,1 Bedroom,7500.00,7500.00,200.00,100.00,Yes
B1,1 Bedroom,7500.00,7500.00,200.00,100.00,Yes
B2,1 Bedroom,7500.00,7500.00,200.00,100.00,Yes
B3,1 Bedroom,7500.00,7500.00,200.00,100.00,Yes
B4,1 Bedroom,7500.00,7500.00,200.00,100.00,Yes
B5,1 Bedroom,7500.00,7500.00,200.00,100.00,Yes
B6,1 Bedroom,7500.00,7500.00,200.00,100.00,Yes
B7,1 Bedroom,7500.00,7500.00,200.00,100.00,Yes
B8,1 Bedroom,7500.00,7500.00,200.00,100.00,Yes
B9,1 Bedroom,7500.00,7500.00,200.00,100.00,Yes
