unit_number,reading_date,previous_reading,current_reading,units_consumed,month,year
A1,03/01/2023,0.0000,0.0000,0.0000,March,2023
A1,04/01/2023,0.0000,9.9393,9.9393,April,2023
A1,05/01/2023,9.9393,19.3852,9.4459,May,2023
A1,06/01/2023,19.3852,33.5138,14.1286,June,2023
A1,07/01/2023,33.5138,43.6093,10.0955,July,2023
A1,08/01/2023,43.6093,51.0621,7.4528,August,2023
A1,09/01/2023,51.0621,55.8554,4.7933,September,2023
A1,10/01/2023,55.8554,62.2534,6.3980,October,2023
A1,11/01/2023,62.2534,67.6211,5.3677,November,2023
A1,12/01/2023,67.6211,70.2145,2.5934,December,2023
A1,01/01/2024,70.2145,72.4121,2.1976,January,2023
A1,02/01/2024,72.4121,76.3851,3.9730,February,2024
A1,03/01/2024,76.3851,78.8901,2.5050,March,2024
A1,04/01/2024,78.8901,82.6005,3.7104,April,2024
A1,05/01/2024,82.6005,87.6365,5.0360,May,2024
A1,06/01/2024,87.6365,97.2863,9.6498,June,2024
A1,07/01/2024,97.2863,105.0663,7.7800,July,2024
A1,08/01/2024,105.0663,111.5449,6.4786,August,2024
A1,09/01/2024,111.5449,115.1756,3.6307,September,2024
A1,10/01/2024,115.1756,118.6705,3.4949,October,2024
A1,11/01/2024,118.6705,121.8169,3.1464,November,2024
A1,12/01/2024,121.8169,128.1000,6.2831,December,2024
A1,01/01/2025,128.1000,129.7063,1.6063,January,2024
A1,02/01/2025,129.7063,132.7832,3.0769,February,2025
A1,03/01/2025,132.7832,135.1080,2.3248,March,2025
A2,05/01/23,0.0000,0.0000,0.0000,May,2023
A2,06/01/23,0.0000,4.0180,4.0180,June,2023
A2,07/01/23,4.0180,6.5265,2.5085,July,2023
A2,08/01/23,6.5265,7.9209,1.3944,August,2023
A2,09/01/23,7.9209,12.9179,4.9970,September,2023
A2,10/01/23,12.9179,14.4293,1.5114,October,2023
A2,11/01/23,14.4293,16.4201,1.9908,November,2023
A2,12/01/23,16.4201,19.4165,2.9964,December,2023
A2,01/01/24,19.4165,21.5723,2.1558,January,2024
A2,02/01/24,21.5723,21.5723,0.0000,February,2024
A2,03/01/24,21.5723,21.5723,0.0000,March,2024
A2,04/01/24,21.5723,29.9188,8.3465,April,2024
A2,05/01/24,29.9188,39.2608,9.3420,May,2024
A2,06/01/24,39.2608,51.3079,12.0471,June,2024
A2,07/01/24,51.3079,58.7498,7.4419,July,2024
A2,08/01/24,58.7498,67.5587,8.8089,August,2024
A2,09/01/24,67.5587,72.9263,5.3676,September,2024
A2,10/01/24,72.9263,77.2430,4.3167,October,2024
A2,11/01/24,77.2430,81.0364,3.7934,November,2024
A2,12/01/24,81.0364,85.5157,4.4793,December,2024
A2,01/01/25,85.5157,88.8589,3.3432,January,2025
A2,02/01/25,88.8589,89.8498,0.9909,February,2025
A2,03/01/25,89.8498,89.8498,0.0000,March,2025
A3,09/01/2023,0.2004,0.2004,0.0000,September,2023
A3,10/01/2023,0.2004,1.7999,1.5995,October,2023
A3,11/01/2023,1.7999,3.2585,1.4586,November,2023
A3,12/01/2023,3.2585,7.0640,3.8055,December,2023
A3,01/01/2024,7.0640,12.2728,5.2088,January,2024
A3,02/01/2024,12.2728,14.5141,2.2413,February,2024
A3,03/01/2024,14.5141,17.0678,2.5537,March,2024
A3,04/01/2024,17.0678,20.1108,3.0430,April,2024
A3,05/01/2024,20.1108,23.6521,3.5413,May,2024
A3,06/01/2024,23.6521,26.0123,2.3602,June,2024
A3,07/1/2024,26.0123,28.4990,2.4867,July,2024
A3,08/01/2024,28.4990,30.5926,2.0936,August,2024
A3,09/01/2024,30.5926,35.5141,4.9215,September,2024
A3,10/01/2024,35.5141,37.5261,2.0120,October,2024
A3,11/01/2024,37.5261,41.5209,3.9948,November,2024
A3,12/01/2024,41.5209,48.1725,6.6516,December,2024
A3,01/01/2025,48.1725,52.7609,4.5884,January,2025
A3,02/01/2025,52.7609,58.3318,5.5709,February,2025
A3,03/01/2025,58.3318,61.7016,3.3698,March,2024
A4,10/01/2024,24.3490,24.3490,0.0000,Otober,2024
A4,11/01/2024,24.3490,27.0860,2.7370,November,2024
A4,12/01/2024,27.0860,31.9010,4.8150,December,2024
A4,01/01/2025,31.9010,37.1362,5.2352,January,2025
A4,02/01/2025,37.1362,44.9460,7.8098,February,2025
A4,03/01/2025,44.9460,53.2090,8.2630,March,2025
A6,02/01/2024,0.0186,0.0186,0.0000,February,2024
A6,03/01/2024,0.0186,2.2494,2.2308,March,2024
A6,04/01/2024,2.2494,4.7690,2.5196,April,2024
A6,05/01/2024,4.7690,6.8876,2.1186,May,2024
A6,06/01/2024,6.8876,9.5738,2.6862,June,2024
A6,07/01/2024,9.5738,12.3840,2.8102,July,2024
A6,08/01/2024,12.3840,14.2790,1.8950,August,2024
A6,09/01/2024,14.2790,17.0839,2.8049,September,2024
A6,10/01/2024,17.0839,19.3510,2.2671,October,2024
A6,11/01/2024,19.3510,21.8059,2.4549,November,2024
A6,12/01/2024,21.8059,24.4310,2.6251,December,2024
A6,01/01/2025,24.4310,27.1317,2.7007,January,2025
A6,02/01/2025,27.1317,30.2841,3.1524,February,2025
A6,03/01/2025,30.2841,33.2600,2.9759,March,2025
A7,10/01/2024,20.9970,20.9970,0.0000,October,2024
A7,11/01/2024,20.9970,23.8340,2.8370,November,2024
A7,12/01/2024,23.8340,25.4191,1.5851,December,2024
A7,01/01/2025,25.4191,26.9911,1.5720,January,2025
A7,02/01/2025,26.9911,28.1328,1.1417,February,2025
A7,03/01/2025,28.1328,30.1084,1.9756,March,2025
A8,10/01/2024,11.3751,11.3751,0.0000,October,2024
A8,11/01/2024,11.3751,14.7990,3.4239,November,2024
A8,12/01/2024,14.7990,18.9410,4.1420,December,2024
A8,01/01/2025,18.9410,22.7231,3.7821,January,2025
A8,02/01/2025,22.7231,25.1110,2.3879,February,2025
A8,03/01/2025,25.1110,26.1240,1.0130,March,2025
A9,11/01/2023,0.0827,0.0827,0.0000,November,2023
A9,12/01/2023,0.0827,3.0828,3.0001,December,2023
A9,01/01/2024,3.0828,12.8758,9.7930,January,2024
A9,02/01/2024,12.8758,15.2832,2.4074,February,2024
A9,03/01/2024,15.2832,15.2832,0.0000,March,2024
A9,04/01/2024,15.2832,15.3674,0.0842,April,2024
A9,05/01/2024,15.3674,15.3674,0.0000,May,2024
A9,06/01/2024,15.3674,18.4891,3.1217,June,2024
A9,07/01/2024,18.4891,21.0292,2.5401,July,2024
A9,08/01/2024,21.0292,23.3802,2.3510,August,2024
A9,09/01/2024,23.3802,25.4624,2.0822,September,2024
A9,10/01/2024,25.4624,27.0731,1.6107,October,2024
A9,11/01/2024,27.0731,29.1063,2.0332,November,2024
